"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"cov.fb[34]",0.406783924514461,0.0969684007018841,0.000559847322481203,0.000557788541179194,0.218391185371326,0.341063888535632,0.406900243527934,0.472828680088972,0.595786819685383,1,30235
"cov.fb[35]",0.632384371484249,0.0971514378385929,0.000560904087882708,0.000578692402541598,0.442168321412241,0.566636545592366,0.632499412484473,0.697498586325339,0.823308376220161,1,28635
"cov.fb[36]",0.35754217831768,0.096730883336447,0.00055847601533248,0.00056376921097499,0.168659579521803,0.293101726991743,0.356835252777633,0.422165271848007,0.548479195598303,1,29453
"cov.fb[37]",0.469983187167759,0.0970908207051641,0.000560554114699682,0.000588331806808099,0.276647892786636,0.404921235129955,0.470403632082564,0.53636484879036,0.658804077790041,1,27320
"cov.fb[38]",0.559325424643088,0.0972718056361962,0.000561599031686188,0.000561610784596041,0.370474085595509,0.493951748043206,0.559162580689709,0.624739527818248,0.749474653419901,1,30000
"cov.fb[39]",0.528848372545903,0.097976715188046,0.000565668828881336,0.000565674620852752,0.337560549733239,0.463173165464648,0.528726184294023,0.594644931087015,0.721098028071137,1,30000
"cov.fb[40]",0.538664283261603,0.0976638392458013,0.000563862438786557,0.000560674986695904,0.346591718726669,0.472922899468744,0.538402416898954,0.604656140998411,0.7298003541462,1,30350
"def.fb",-0.466632599066485,0.0775576383414616,0.000447779233741545,0.000482772958407494,-0.617727426375993,-0.519370082467963,-0.466926859055757,-0.41429473536757,-0.315488329570272,1,25875
"greece_f[20]",-2.54539444715434,0.257489304096187,0.00148661519033383,0.00148664183758617,-3.04842288005035,-2.72127904445188,-2.5443099743361,-2.3723453847272,-2.03737751201966,1,30000
"greece_f[40]",-3.78988557612535,0.252195007030272,0.00145604855197207,0.00145609226921015,-4.2846739596478,-3.9589327795213,-3.79073274450606,-3.61867722720427,-3.29577095898609,1,30000
"true.stock[1]",29851.9665193621,3629.57056226804,20.9553354116819,29.998021567304,23451.2315183508,27301.2905278658,29630.1478458782,32152.8924640358,37579.8799443463,1,14781
"true.stock[2]",40420.3760783639,4521.41401081725,26.1043959626308,29.0678784554155,32227.3550026427,37263.9042598199,40151.2248233302,43333.6423155006,49940.3618959826,1,24301
"true.stock[3]",62479.9785551659,7006.54957053404,40.4523328063828,54.7784942924444,49980.6292902811,57526.0793268074,62076.6210176777,66968.849678717,77494.3463904364,1,16578
"true.stock[4]",86662.6413505194,9994.30008829676,57.7021184634003,89.7691320851072,68669.7123584858,79667.1525154684,86043.7152652418,92983.1444740407,107824.114672778,1,12484
"true.stock[5]",41938.5257447965,4707.27938577953,27.1774902053059,32.0887627559875,33491.4611789257,38645.7472025676,41666.4346458966,44901.35244526,52021.3297986926,1,21766
"true.stock[6]",213250.932960926,24854.7125034978,143.498749545252,284.04929990448,168760.972737265,195862.956918065,211549.424617052,228927.575727517,266501.428828797,1,7690
"true.stock[7]",329595.037122171,39755.4790577677,229.528365357647,735.492930963561,257658.534686106,302087.758718369,327370.969686134,354333.821493468,415771.157353265,1,2951
"true.stock[8]",99120.2321715211,11249.2614048158,64.947641002549,100.602174634078,79055.7771474231,91255.1721132247,98528.9428184242,106271.944711204,122800.807949395,1,12526
"true.stock[9]",145259.755884345,17864.933908953,103.143244013889,227.26893055501,113585.781013753,132742.607807314,144147.559367766,156574.266674755,183296.110799386,1,6202
"true.stock[10]",37162.3062321366,4213.82624185036,24.3285371505061,29.7143026078038,29580.1217562106,34259.283333206,36947.7417558638,39812.1866728598,46170.9261223707,1,20233
"true.stock[11]",31550.8118467955,3718.8891200527,21.471016345488,28.2932608299739,24847.2000997358,28950.6105636197,31335.9703542685,33912.9869196363,39412.3847438604,1,17586
"true.stock[12]",399416.605438538,49211.4969731688,284.122710246835,1193.3644528845,312019.364569144,366043.456469286,396378.139703393,429748.310150734,505337.233828593,1,2263
"true.stock[13]",280716.846192226,33429.3723098832,193.004571019513,421.895524628655,219604.220603569,257295.801606921,278823.122248013,302228.099348559,350702.358833934,1,6285
"true.stock[14]",85370.0259138661,9825.18887485758,56.7257544173794,93.3070552766469,67711.9088793408,78606.049350538,84818.1035634005,91598.5936322299,106023.943495207,1,11123
"true.stock[15]",982492.415722355,128096.223739188,739.563892579944,5394.82484958146,760093.383262571,892466.310634151,974525.697354326,1063483.41550425,1258110.00250786,1.01,691
"true.stock[16]",152592.227388745,17897.7101788197,103.332477896195,198.647878766357,120676.19537364,140120.733472483,151540.364586689,163853.898083323,190853.534057871,1,8201
"true.stock[17]",889076.040059958,119425.835055368,689.505380174125,3615.63427293769,677599.968676542,806016.720495751,880097.6566853,964210.951932661,1148343.99686549,1,1118
"true.stock[18]",92214.9582351589,10764.2353898368,62.1473419994279,104.378108353141,72905.114229375,84674.8477282524,91559.1527805544,99034.0358250489,115229.754140372,1,10661
"true.stock[19]",234620.187514022,27313.2557123669,157.693155379801,272.662029603177,185262.847772622,215630.962290718,233043.519090871,252064.5828355,292806.205458033,1,10441
"true.stock[20]",81435.9856610224,9976.95820930994,57.6019950783874,73.2404575234261,63815.4414029729,74394.4104566274,80782.7037368131,87734.2716581595,102776.91997441,1,18610
"true.stock[21]",25636.7753469357,3163.49970324788,18.2644740525146,28.3978365612725,20011.7532930054,23440.3021342963,25449.9389924287,27625.4552685077,32367.5218254836,1,13042
"true.stock[22]",34824.311215668,3921.50701500972,22.6408313074487,27.2371431659037,27791.7065465017,32113.490452782,34582.3649737774,37280.7078448506,43215.1128227824,1,20799
"true.stock[23]",49873.4375057956,5637.83878271651,32.5500773884909,41.7193531084857,39803.6359796264,45930.9449325519,49599.8463641016,53457.8559314186,61813.8442689657,1,18377
"true.stock[24]",93699.2975182421,10679.0129235212,61.6553098607448,108.117537788691,74511.0335855341,86221.7464057788,93122.6623405649,100576.86041842,116288.76691783,1,10416
"true.stock[25]",48680.3372440856,5462.55451397549,31.5380731910675,37.6856519587358,38846.186623477,44872.4804274645,48374.7188123349,52182.5702686476,60276.5563409945,1,21065
"true.stock[26]",230349.834351332,26946.6832765344,155.576748434747,284.644610457343,182061.964938184,211581.207862222,228618.899975931,247601.187763319,287064.290188677,1,9144
"true.stock[27]",261263.383591794,31692.1135495548,182.974502890236,614.365588468207,204235.22189222,239100.046697919,259558.740147955,281131.873028473,328698.131627103,1,2794
"true.stock[28]",124339.088103347,14492.6717150774,83.6734791597679,140.167631614206,98442.872116239,114159.333259447,123475.935126385,133572.422239813,155116.677771866,1,10972
"true.stock[29]",143425.282918274,16745.4975625401,96.6801752544676,208.346579959412,113139.507698198,131829.34451257,142415.344044379,154192.334338847,178892.843865257,1,6498
"true.stock[30]",36128.952039561,4079.11780203165,23.5507976105917,29.2841802395527,28795.492107263,33247.7247263305,35911.9387772426,38801.3407848046,44723.6020087602,1,19414
"true.stock[31]",29345.5344903916,3357.68520458471,19.3856045672101,23.8551345512659,23225.5007791171,27013.8132207954,29172.5869122652,31490.5686813496,36412.2319057745,1,20361
"true.stock[32]",472483.763942002,61347.1554106056,354.18796690331,1720.9468083659,364785.763317681,429439.474486431,468300.013317874,510486.697844145,605834.193537371,1,2184
"true.stock[33]",317276.200702348,37851.2671523763,218.534392795929,449.222394749039,249985.016980754,290735.190962967,315146.428738813,341337.167441133,397275.339564924,1,7198
"true.stock[34]",85557.9345393373,9678.55047126024,55.8791371994748,94.5870268608135,68078.9325439553,78783.9503142257,85067.0575229905,91690.8739280065,106110.971881817,1,10582
"true.stock[35]",988397.055206201,121643.584721882,702.309563843698,6296.5919591391,765408.007860647,907368.385153099,981898.882368362,1065505.90241434,1244365.08031817,1.01,750
"true.stock[36]",143685.563770966,16684.3992062118,96.3274237297356,187.123822588774,113958.552247198,132001.565188634,142773.73819268,154257.6168493,179133.524817338,1,7969
"true.stock[37]",574400.223816146,70726.6917488264,408.340745200766,1838.56842529206,447827.346588052,524744.444544807,569934.825246586,619420.045181255,722979.069526937,1,1634
"true.stock[38]",91379.6940843019,10323.0786945373,59.600322631568,91.888849454046,72631.8846566916,84129.5186100229,90847.926367979,97975.562069487,113162.739414115,1,13049
"true.stock[39]",241743.127652609,29051.5746615661,167.729344512377,321.469728018576,189315.013153584,221360.191125699,240268.778364186,260370.811108416,302402.024610433,1,8900
"true.stock[40]",95019.192454904,11505.224468924,66.4254444422032,96.1176052899429,74418.3300951314,86974.3700157139,94326.9427050903,102373.749624918,119230.419144089,1,15020
"undercount18",0.248980566307379,0.0613201571860818,0.000354032092581345,0.0020851851101065,0.137432880589082,0.207495266715856,0.247003627744113,0.288130197987536,0.37301469468014,1,963
"undercount19",0.19587741091113,0.055307685091688,0.000319319068759411,0.00202491648802935,0.0925548300985238,0.159622446287149,0.195227221542069,0.231312451614037,0.305790438070362,1,1123
