"","Mean","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"bias.lfs[1,9]",-0.0215446841975899,-0.207673557377207,-0.085580126464374,-0.0213539646270797,0.0426037384523021,0.163993010824279,1,21909
"bias.lfs[2,9]",-0.0764207237801948,-0.262732476434616,-0.140483353502004,-0.0762884230101883,-0.0123533972450341,0.109623192821152,1,32248
"bias.lfs[1,10]",-0.358082775952897,-0.543210269363221,-0.421914184138351,-0.358007028586015,-0.294451569856149,-0.172765457863112,1,187628
"bias.lfs[2,10]",-0.393797193934304,-0.579676340055624,-0.457827948078063,-0.39362229998699,-0.329813012225022,-0.208087110168793,1,200793
"bias.lfs[1,11]",-0.393159117883274,-0.578376651710946,-0.456498181194035,-0.393131412454628,-0.329564962720111,-0.20868804588918,1,231367
"bias.lfs[2,11]",-0.483949038690306,-0.6690369761839,-0.547880697938002,-0.484037179843456,-0.419988780671293,-0.298021710044641,1,264116
"bias.lfs[1,12]",-0.274172860436717,-0.459820432977864,-0.33811233789844,-0.274164356092138,-0.210249703832336,-0.0883241116496695,1,9609
"bias.lfs[2,12]",-0.326834954449714,-0.513017527515936,-0.39098295258956,-0.326720084663963,-0.26272084438249,-0.140786669205164,1,12897
"bias.lfs[1,13]",-0.313852110532981,-0.500949685358043,-0.377982639196698,-0.313409203375808,-0.249530113852136,-0.128376575683304,1,22783
"bias.lfs[2,13]",-0.297123256501123,-0.483274711909682,-0.360800254273169,-0.297192091983065,-0.233150732359736,-0.110445096649836,1,24872
"bias.lfs[1,14]",-0.286917236831423,-0.472404664269079,-0.350796272230966,-0.286775905987256,-0.22321028081813,-0.101771712046438,1,51612
"bias.lfs[2,14]",-0.319381513309933,-0.504191956603909,-0.383182052948926,-0.319369373567432,-0.255659290240265,-0.1342375190834,1,69492
"bias.lfs[1,15]",-0.272625002313562,-0.461338856805478,-0.337926687999063,-0.272596415475152,-0.20713639456277,-0.0839717837155798,1,3046
"bias.lfs[2,15]",-0.281647478263828,-0.468312462126641,-0.345708599414454,-0.281665315124037,-0.217636124804056,-0.0947746391061406,1,5410
"bias.lfs[1,16]",-0.304822501139261,-0.490601930068266,-0.368578763589911,-0.304679650693795,-0.240965715793958,-0.119236424939881,1,44717
"bias.lfs[2,16]",-0.312319983147629,-0.497431347581497,-0.376005969835255,-0.312530488553765,-0.248856710624004,-0.126509511585657,1,44774
"bias.lfs[1,17]",-0.370552302535778,-0.556028676073663,-0.434397026032142,-0.370467852935224,-0.306875767656923,-0.185391874077846,1,19598
"bias.lfs[2,17]",-0.414515942810321,-0.603260723083322,-0.479394839146213,-0.414227443511115,-0.349338248108982,-0.226927601406183,1,32513
"bias.lfs[1,18]",-0.290924145188457,-0.476742350385277,-0.35501889435161,-0.29073497134523,-0.226909894048783,-0.104996365578864,1,60850
"bias.lfs[2,18]",-0.319122760584309,-0.503829712413129,-0.382709194172463,-0.319175157118443,-0.255496526724872,-0.133783861232294,1,81199
"bias.lfs[1,19]",-0.381179121985351,-0.566454765325837,-0.445422147256694,-0.381161465675341,-0.31714227602801,-0.195990554172544,1,56231
"bias.lfs[2,19]",-0.370005753675383,-0.55537502048442,-0.433829768936358,-0.369928020379784,-0.30631037707336,-0.18376157832356,1,56270
"bias.lfs[1,20]",-0.176078029447569,-0.363575803703632,-0.240568312062167,-0.17604353727959,-0.111558672474481,0.0107365424830286,1,206694
"bias.lfs[2,20]",-0.099748999701488,-0.285415662968987,-0.16380119480225,-0.0998481677167089,-0.0357795186471602,0.0867891781534174,1,134283
"bias.lfs[1,21]",-0.061732977396433,-0.247364483322319,-0.125577020604562,-0.061643989140124,0.00194943865010494,0.123893826261652,1,232512
"bias.lfs[2,21]",-0.117028887097108,-0.302524902244985,-0.181151035566562,-0.116966714798009,-0.0530900983259696,0.0694083061044342,1,258607
"bias.lfs[1,22]",-0.0108574338330575,-0.19571966026365,-0.0744683931242405,-0.0108658428842662,0.0528402315346324,0.174265163685625,1,183247
"bias.lfs[2,22]",-0.0490884494947713,-0.234450552181074,-0.112551282410531,-0.0490593424743059,0.0144238648717626,0.135367135033094,1,224198
"bias.lfs[1,23]",-0.0462055044299614,-0.230884732952541,-0.109863606764078,-0.046131683751586,0.0173062386973242,0.138982898140202,1,136453
"bias.lfs[2,23]",-0.0764795208201197,-0.262012335198854,-0.140624076677416,-0.0765241666951217,-0.012375014298736,0.10927404519682,1,191927
"bias.lfs[1,24]",-0.0548879446874653,-0.240268573406372,-0.118820304199246,-0.0548719434908444,0.00923296121588061,0.129832276067467,1,89224
"bias.lfs[2,24]",-0.0601165968130859,-0.245046358795063,-0.12402803698243,-0.060363409696307,0.00362664745950467,0.125883468421415,1,105495
"bias.lfs[1,25]",-0.0238079581575284,-0.209115672029784,-0.0875196938548201,-0.0238781406789398,0.0398223241076846,0.161187870850329,1,147445
"bias.lfs[2,25]",-0.00855945199798842,-0.193194657121416,-0.0719946975663144,-0.0084517420493276,0.0549940822111321,0.175578666852513,1,164981
"bias.lfs[1,26]",-0.158530632598557,-0.345311924447035,-0.222789772873699,-0.15841559336378,-0.0942751850175178,0.0274461668866157,1,61384
"bias.lfs[2,26]",-0.146865159880622,-0.332564227462485,-0.210650786460063,-0.14679462044172,-0.0832190586774347,0.0387541853118637,1,68270
"bias.lfs[1,27]",-0.0572255902859439,-0.244672817472859,-0.121486108311373,-0.0570448440885326,0.00731765238825496,0.129214559427257,1,39237
"bias.lfs[2,27]",-0.0613647294596031,-0.248081903483134,-0.125297633091214,-0.0614522099411518,0.00264669434200429,0.125199275927295,1,24912
"bias.lfs[1,28]",-0.185755119362176,-0.371613379188318,-0.249584951288185,-0.185852581402887,-0.122021867051097,0.000178620419419823,1,96660
"bias.lfs[2,28]",-0.187421449743662,-0.373109069155028,-0.251346328281716,-0.187248599639907,-0.123481878985113,-0.00184926742666726,1,98274
"bias.lfs[1,29]",-0.0289190904532077,-0.214641381913991,-0.0926831166214652,-0.0287896058729141,0.0349480889879628,0.156247792562635,1,32761
"bias.lfs[2,29]",-0.0659774794957245,-0.251131420675151,-0.130050733348042,-0.0656149523367253,-0.00219957409726641,0.118979136356124,1,40898
"bias.lfs[1,30]",-0.352055555193663,-0.537607056910917,-0.415867417427034,-0.352000298989959,-0.288348243282305,-0.167169113911772,1,184034
"bias.lfs[2,30]",-0.358156524977608,-0.543676970950175,-0.421889622658778,-0.358307007383906,-0.294270614871875,-0.172726467144419,1,220007
"bias.lfs[1,31]",-0.305440523567431,-0.490668724580394,-0.369213781688501,-0.305509280990817,-0.241639658280405,-0.120305317059559,1,177237
"bias.lfs[2,31]",-0.34444195965955,-0.530250910068228,-0.408280158773399,-0.344622257681004,-0.280588717681384,-0.158384233446661,1,240274
"bias.lfs[1,32]",-0.351814809564038,-0.539160608218056,-0.416251450977065,-0.351842909010545,-0.287257691225802,-0.16467457522072,1,16908
"bias.lfs[2,32]",-0.353569600469944,-0.540105373562308,-0.418142034613267,-0.353537823993176,-0.289152557778299,-0.166548068005932,1,19749
"bias.lfs[1,33]",-0.286288372453448,-0.471870083164776,-0.349951040499321,-0.286006299464645,-0.222482393350191,-0.101543496380982,1,53753
"bias.lfs[2,33]",-0.303868826169578,-0.489852112308458,-0.367828856194026,-0.304050460218971,-0.239787181747298,-0.117310086304792,1,49859
