"","country","gender","lfs","confidence","fb","fbpop_19","pop","unemp_17","unemp_uk","inflow","outflow","gdp","gdp_uk","rate","alg","mean_pop","mean_i","mean_o","pop_r","inflow_r","outflow_r","gdp_r","unemp_r"
"11","France","Female",103000,15000,63000,1.7e+07,28708770,11.5275,5.1975,200,-200,2.3,1.9,0.407846452495178,0.456398640996603,9412938.85,3315,-1625,3.04992632561296,0.0603318250377074,-0.123076923076923,1.21052631578947,2.21789321789322
"12","France","Male",75000,13000,74000,1.7e+07,26270813,11.255,5.44318181818182,0,0,2.3,1.9,0.352894027299422,0.539759036144578,8833506.3,5050,-2245,2.973996067677,0,0,1.21052631578947,2.06772442588727
"13","Germany","Female",173000,20000,41000,1.5e+07,36539357,3.8325,5.1975,4700,-5200,2.5,1.9,0.589483744883633,0.516666666666667,9412938.85,3315,-1625,3.88182241298635,1.41779788838612,-3.2,1.31578947368421,0.737373737373737
"14","Germany","Male",135000,17000,55000,1.6e+07,35163355,4.7175,5.44318181818182,6900,-4300,2.5,1.9,0.544980847248506,0.578545454545454,8833506.3,5050,-2245,3.98067922360569,1.36633663366337,-1.91536748329621,1.31578947368421,0.866680584551148
"15","Greece","Female",27000,8000,1700,2600000,4771380,28.8954545454545,5.1975,4200,-3300,1.5,1.9,0.455084273312962,0.193548387096774,9412938.85,3315,-1625,0.506895888312288,1.26696832579186,-2.03076923076923,0.789473684210526,5.55949101403647
"16","Greece","Male",40000,9000,1700,3e+06,4410236,21.3272727272727,5.44318181818182,5800,-1400,1.5,1.9,0.319764293792895,0.230769230769231,8833506.3,5050,-2245,0.499262223880454,1.14851485148515,-0.623608017817372,0.789473684210526,3.91816283924843
"17","Hungary","Female",46000,10000,51000,3100000,4402045,7.0375,5.1975,5700,0,4.3,1.9,0.295781846846182,0.4141689373297,9412938.85,3315,-1625,0.467658939482009,1.71945701357466,0,2.26315789473684,1.35401635401635
"18","Hungary","Male",38000,9000,54000,2800000,3934005,5.82,5.44318181818182,4800,-500,4.3,1.9,0.288257132362567,0.473684210526316,8833506.3,5050,-2245,0.445350336140022,0.95049504950495,-0.22271714922049,2.26315789473684,1.06922755741127
"19","Ireland","Female",214000,22000,81000,1500000,1982814,7.55666666666667,5.1975,4200,-400,8.1,1.9,0.243499390260509,0.405703771849126,9412938.85,3315,-1625,0.210647708605905,1.26696832579186,-0.246153846153846,4.26315789473684,1.45390412057079
"20","Ireland","Male",167000,19000,98000,1300000,1914571,8.4525,5.44318181818182,2600,-8200,8.1,1.9,0.320996714146407,0.560515021459227,8833506.3,5050,-2245,0.216739642784881,0.514851485148515,-3.65256124721604,4.26315789473684,1.55286012526096
"21","Italy","Female",115000,16000,120000,1.5e+07,27115921,16.5189393939394,5.1975,200,0,1.7,1.9,0.446819453412628,0.408327246165084,9412938.85,3315,-1625,2.88070722992108,0.0603318250377074,0,0.894736842105263,3.17824711764106
"22","Italy","Male",122000,16000,98000,1.6e+07,25292831,14.2863636363636,5.44318181818182,400,-200,1.7,1.9,0.367409682213905,0.409019843656043,8833506.3,5050,-2245,2.86328329216225,0.0792079207920792,-0.089086859688196,0.894736842105263,2.62463465553236
