"","country","lfs","gender","confidence","fb","fbpop_20","pop","unemp_18","unemp_uk","inflow","outflow","gdp","gdp_uk","rate","mean_pop","mean_i","mean_o","pop_r","inflow_r","outflow_r","gdp_r","unemp_r"
"11","France",98000,"Female",15000,19400,1.6e+07,28825149,11.1325,4.9225,7900,-11800,1.7,1.3,0.444929148501539,9425521.5,3320,-2315,3.0582020315799,2.37951807228916,-5.09719222462203,1.30769230769231,2.26155408836973
"12","France",85000,"Male",14000,19000,1.5e+07,26394978,10.755,4.91893939393939,5900,-11800,1.7,1.3,0.431710077576121,8851681.55,3645,-3535,2.98191680878985,1.61865569272977,-3.33804809052334,1.30769230769231,2.18644694286154
"13","Germany",168000,"Female",20000,13000,1.4e+07,36546284,3.3825,4.9225,8700,-1900,1.5,1.3,0.616924117374013,9425521.5,3320,-2315,3.87737527308171,2.62048192771084,-0.8207343412527,1.15384615384615,0.687150837988827
"14","Germany",137000,"Male",18000,12000,1.4e+07,35204454,4.3525,4.91893939393939,1300,-5300,1.5,1.3,0.602323046964455,8851681.55,3645,-3535,3.97714872605194,0.356652949245542,-1.4992927864215,1.15384615384615,0.884845217926998
"15","Greece",31000,"Female",9000,1000,2500000,4763795,26.7522727272727,4.9225,5000,0,1.9,1.3,0.47520831605894,9425521.5,3320,-2315,0.505414474944437,1.50602409638554,0,1.46153846153846,5.43469227572833
"16","Greece",43000,"Male",10000,1000,2800000,4404493,18.9295454545455,4.91893939393939,2900,-4600,1.9,1.3,0.364285514814077,8851681.55,3645,-3535,0.497588280274272,0.795610425240055,-1.3012729844413,1.46153846153846,3.84829816725705
"17","Hungary",42000,"Female",10000,17000,3e+06,4390571,6.22666666666667,4.9225,1300,-1200,5.1,1.3,0.316717575003342,9425521.5,3320,-2315,0.46581730252273,0.391566265060241,-0.518358531317495,3.92307692307692,1.26493990181141
"18","Hungary",45000,"Male",10000,19000,2600000,3927743,5.5225,4.91893939393939,3600,-3300,5.1,1.3,0.33804222934138,8851681.55,3645,-3535,0.443728457447726,0.987654320987654,-0.933521923620934,3.92307692307692,1.12270137070692
"19","Ireland",199000,"Female",21000,37000,1400000,2004285,7.30092592592593,4.9225,4900,-600,8.2,1.3,0.301496543655219,9425521.5,3320,-2315,0.21264446747058,1.47590361445783,-0.259179265658747,6.30769230769231,1.48317438820232
"20","Ireland",159000,"Male",19000,28000,1200000,1937024,7.22,4.91893939393939,2000,-500,8.2,1.3,0.380492962400053,8851681.55,3645,-3535,0.2188311891993,0.548696844993141,-0.141442715700141,6.30769230769231,1.46779608809487
"21","Italy",110000,"Female",16000,32200,1.5e+07,27099791,15.9719696969697,4.9225,5400,-2400,0.8,1.3,0.446490196179004,9425521.5,3320,-2315,2.87515030335457,1.62650602409639,-1.03671706263499,0.615384615384615,3.24468658140573
"22","Italy",136000,"Male",18000,47600,1.5e+07,25313787,13.3931818181818,4.91893939393939,16100,-3300,0.8,1.3,0.407437535916692,8851681.55,3645,-3535,2.85977154250426,4.41700960219479,-0.933521923620934,0.615384615384615,2.72277837671338
"23","Latvia",48000,"Female",11000,23000,5e+05,879322,7.86388888888889,4.9225,200,-500,4.6,1.3,0.431380086020821,9425521.5,3320,-2315,0.0932916019553931,0.0602409638554217,-0.215982721382289,3.53846153846154,1.59753964223238
"24","Latvia",42000,"Male",10000,17000,380000,719135,8.8125,4.91893939393939,0,0,4.6,1.3,0.471587393187649,8851681.55,3645,-3535,0.0812427555078504,0,0,3.53846153846154,1.79154474048976
"25","Lithuania",107000,"Female",16000,39400,880000,1279000,7.66666666666667,4.9225,800,-400,3.6,1.3,0.311962470680219,9425521.5,3320,-2315,0.135695409532512,0.240963855421687,-0.172786177105832,2.76923076923077,1.55747418317251
"26","Lithuania",80000,"Male",14000,38000,740000,1058940,7.67407407407407,4.91893939393939,1600,-2200,3.6,1.3,0.301187980433264,8851681.55,3645,-3535,0.119631506625992,0.438957475994513,-0.622347949080622,2.76923076923077,1.56010746616014
"27","Netherlands",43000,"Female",10000,5560,4700000,7398573,4.19772727272727,4.9225,600,-3400,2.6,1.3,0.364742363155706,9425521.5,3320,-2315,0.784951050188576,0.180722891566265,-1.46868250539957,2,0.852763285470243
"28","Netherlands",35000,"Male",9000,6900,4100000,7218023,4.03409090909091,4.91893939393939,1100,-4400,2.6,1.3,0.431977426505845,8851681.55,3645,-3535,0.81544088083467,0.301783264746228,-1.24469589816124,2,0.820113968889573
"29","Poland",442000,"Female",32000,128200,8800000,16721903,6.00833333333333,4.9225,9700,-3000,5.1,1.3,0.473744106756271,9425521.5,3320,-2315,1.77410905062388,2.92168674698795,-1.29589632829374,3.92307692307692,1.22058574572541
"30","Poland",384000,"Male",30000,130000,7700000,15348067,5.855,4.91893939393939,7700,-19800,5.1,1.3,0.498308158284688,8851681.55,3645,-3535,1.73391540503397,2.11248285322359,-5.6011315417256,3.92307692307692,1.19029724318497
"31","Portugal",74000,"Female",13000,32000,3100000,4732576,10.7775,4.9225,6900,-500,2.4,1.3,0.344965617033937,9425521.5,3320,-2315,0.502102297469694,2.07831325301205,-0.215982721382289,1.84615384615385,2.18943626206196
"32","Portugal",75000,"Male",13000,31000,2900000,4145813,9.6025,4.91893939393939,300,-1600,2.4,1.3,0.300499081844743,8851681.55,3645,-3535,0.468364454435214,0.0823045267489712,-0.452616690240453,1.84615384615385,1.95214846758047
"33","Romania",210000,"Female",22000,120000,5e+06,8397213,6.76759259259259,4.9225,9000,-1900,4.4,1.3,0.404564347718701,9425521.5,3320,-2315,0.8909016864478,2.71084337349398,-0.8207343412527,3.38461538461538,1.37482835806858
"34","Romania",224000,"Male",23000,170000,4900000,7880224,7.1475,4.91893939393939,17900,-3300,4.4,1.3,0.378190264642223,8851681.55,3645,-3535,0.890251638119539,4.91083676268861,-0.933521923620934,3.38461538461538,1.4530571384568
"35","Slovakia",34000,"Female",9000,13800,1300000,2372640,7.5625,4.9225,200,-3300,4,1.3,0.452087126576303,9425521.5,3320,-2315,0.251725063700719,0.0602409638554217,-1.42548596112311,3.07692307692308,1.53631284916201
"36","Slovakia",30000,"Male",8000,14000,1200000,2221692,10.1166666666667,4.91893939393939,1000,-1400,4,1.3,0.459871125250485,8851681.55,3645,-3535,0.250990954368439,0.274348422496571,-0.396039603960396,3.07692307692308,2.05667642076082
"37","Spain",76000,"Female",13000,30000,1.2e+07,20656052,19.4181818181818,4.9225,3800,-9200,2.4,1.3,0.419056458610774,9425521.5,3320,-2315,2.191502295125,1.14457831325301,-3.97408207343413,1.84615384615385,3.94478046077843
"38","Spain",70000,"Male",13000,26000,1e+07,19542067,17.1386363636364,4.91893939393939,10100,-5000,2.4,1.3,0.488283404206935,8851681.55,3645,-3535,2.20772368386886,2.77091906721536,-1.41442715700141,1.84615384615385,3.48421376867396
"39","Sweden",26000,"Female",8000,6640,3e+06,4248352,7.60227272727273,4.9225,0,-2000,2.2,1.3,0.293843824617169,9425521.5,3320,-2315,0.450728588333282,0,-0.863930885529158,1.69230769230769,1.54439263123875
"40","Sweden",25000,"Male",8000,3600,2900000,4254309,8.10681818181818,4.91893939393939,0,0,2.2,1.3,0.31833818370974,8851681.55,3645,-3535,0.480621560544053,0,0,1.69230769230769,1.64808255043893
